#wl 	 flux 	 err 
3950.935547 	 7.525753e-16 	 2.405038e-17 
3951.846680 	 7.624657e-16 	 2.404805e-17 
3952.755859 	 7.520491e-16 	 2.406021e-17 
3953.665039 	 7.214222e-16 	 2.341753e-17 
3954.576904 	 7.423047e-16 	 2.381521e-17 
3955.486572 	 7.535414e-16 	 2.394449e-17 
3956.398682 	 7.234380e-16 	 2.350042e-17 
3957.308838 	 7.089716e-16 	 2.308068e-17 
3958.221436 	 7.051169e-16 	 2.293743e-17 
3959.132080 	 6.842662e-16 	 2.251853e-17 
3960.044922 	 6.753722e-16 	 2.235973e-17 
3960.956055 	 6.877292e-16 	 2.251747e-17 
3961.867188 	 6.489458e-16 	 2.175042e-17 
3962.780762 	 6.416713e-16 	 2.174944e-17 
3963.692383 	 6.426332e-16 	 2.139414e-17 
3964.606445 	 6.081914e-16 	 2.098398e-17 
3965.518555 	 6.066656e-16 	 2.074748e-17 
3966.432861 	 5.971167e-16 	 2.049433e-17 
3967.345459 	 5.619636e-16 	 2.005211e-17 
3968.258057 	 5.769926e-16 	 2.000784e-17 
3969.173096 	 5.887944e-16 	 2.018751e-17 
3970.086182 	 5.414910e-16 	 1.931319e-17 
3971.001709 	 5.254860e-16 	 1.891367e-17 
3971.915283 	 5.201987e-16 	 1.892646e-17 
3972.831299 	 5.447612e-16 	 1.929232e-17 
3973.745117 	 5.751577e-16 	 1.986336e-17 
3974.659180 	 5.705113e-16 	 1.992201e-17 
3975.575928 	 5.600056e-16 	 1.981973e-17 
3976.490479 	 6.231381e-16 	 2.109382e-17 
3977.407471 	 5.930399e-16 	 2.051573e-17 
3978.322510 	 6.324962e-16 	 2.127674e-17 
3979.239746 	 6.414164e-16 	 2.128591e-17 
3980.155273 	 6.378411e-16 	 2.139086e-17 
3981.070801 	 6.793656e-16 	 2.196643e-17 
3981.988770 	 6.730407e-16 	 2.193802e-17 
3982.905029 	 6.391754e-16 	 2.137600e-17 
3983.823242 	 6.514019e-16 	 2.159023e-17 
3984.739746 	 6.854618e-16 	 2.216432e-17 
3985.658691 	 6.932762e-16 	 2.228899e-17 
3986.575684 	 6.767033e-16 	 2.210813e-17 
3987.492676 	 6.927666e-16 	 2.224523e-17 
3988.412109 	 7.106522e-16 	 2.261113e-17 
3989.329834 	 7.386793e-16 	 2.316045e-17 
3990.249756 	 7.564817e-16 	 2.349411e-17 
3991.167725 	 7.448365e-16 	 2.338190e-17 
3992.087891 	 7.378229e-16 	 2.325979e-17 
3993.006348 	 7.914737e-16 	 2.409818e-17 
3993.925049 	 7.677122e-16 	 2.395518e-17 
3994.845947 	 7.986175e-16 	 2.427983e-17 
3995.764893 	 8.064491e-16 	 2.452013e-17 
3996.686279 	 8.061542e-16 	 2.464125e-17 
3997.605713 	 8.479842e-16 	 2.522848e-17 
3998.527588 	 8.508834e-16 	 2.531737e-17 
3999.447510 	 7.863180e-16 	 2.418516e-17 
4000.367432 	 7.858272e-16 	 2.426134e-17 
4001.290039 	 8.278947e-16 	 2.504295e-17 
4002.210449 	 8.624306e-16 	 2.558337e-17 
4003.133301 	 8.704432e-16 	 2.585596e-17 
4004.054443 	 8.671116e-16 	 2.591161e-17 
4004.977539 	 8.872425e-16 	 2.597428e-17 
4005.898926 	 8.723162e-16 	 2.614636e-17 
4006.820557 	 8.635554e-16 	 2.543147e-17 
4007.744629 	 8.595390e-16 	 2.582200e-17 
4008.666504 	 8.585703e-16 	 2.574643e-17 
4009.590820 	 9.084735e-16 	 2.658191e-17 
4010.513184 	 9.010850e-16 	 2.665162e-17 
4011.437988 	 8.930524e-16 	 2.651325e-17 
4012.360840 	 9.007431e-16 	 2.657471e-17 
4013.283936 	 9.093988e-16 	 2.675870e-17 
4014.209473 	 9.162255e-16 	 2.685183e-17 
4015.132812 	 9.337440e-16 	 2.710054e-17 
4016.058838 	 9.045079e-16 	 2.648671e-17 
4016.982666 	 8.839710e-16 	 2.619817e-17 
4017.908936 	 8.978881e-16 	 2.635714e-17 
4018.833252 	 8.881652e-16 	 2.595827e-17 
4019.757812 	 8.703174e-16 	 2.629471e-17 
4020.684814 	 9.717354e-16 	 2.726651e-17 
4021.609619 	 9.377115e-16 	 2.735631e-17 
4022.537109 	 9.384463e-16 	 2.704355e-17 
4023.462402 	 9.347441e-16 	 2.717114e-17 
4024.390137 	 9.313597e-16 	 2.697019e-17 
4025.316162 	 9.561844e-16 	 2.735875e-17 
4026.242188 	 9.440424e-16 	 2.718950e-17 
4027.170410 	 9.310173e-16 	 2.696096e-17 
4028.096924 	 9.426828e-16 	 2.704733e-17 
4029.025879 	 9.494364e-16 	 2.713266e-17 
4029.952637 	 9.403155e-16 	 2.696008e-17 
4030.882080 	 9.275193e-16 	 2.665338e-17 
4031.809326 	 9.210743e-16 	 2.655667e-17 
4032.739014 	 9.282142e-16 	 2.663218e-17 
4033.666748 	 9.158074e-16 	 2.650236e-17 
4034.594727 	 9.635690e-16 	 2.741314e-17 
4035.525146 	 1.018105e-15 	 2.801329e-17 
4036.453369 	 9.929782e-16 	 2.784740e-17 
4037.384277 	 9.566701e-16 	 2.727651e-17 
4038.312988 	 9.485388e-16 	 2.695755e-17 
4039.244141 	 9.602648e-16 	 2.733991e-17 
4040.173584 	 9.727818e-16 	 2.719244e-17 
4041.103027 	 9.867417e-16 	 2.776834e-17 
4042.034668 	 9.849588e-16 	 2.733277e-17 
4042.964600 	 9.309601e-16 	 2.681982e-17 
4043.896973 	 9.356655e-16 	 2.679234e-17 
4044.827148 	 9.529137e-16 	 2.686848e-17 
4045.760010 	 9.238430e-16 	 2.649344e-17 
4046.690674 	 8.987855e-16 	 2.614352e-17 
4047.621582 	 9.253471e-16 	 2.673204e-17 
4048.554932 	 9.335963e-16 	 2.705007e-17 
4049.486328 	 9.595077e-16 	 2.702145e-17 
4050.420166 	 9.491735e-16 	 2.677984e-17 
4051.352051 	 9.636457e-16 	 2.690899e-17 
4052.286133 	 9.351408e-16 	 2.597907e-17 
